"id","Количество.комнат","Студия","Общая.площадь","Этаж","Этажей.в.доме","Парковка","Цена","Без.ремонта","Дизайнерский","Евроремонт","Косметический","Балкон","Лоджия","Совмещенный.санузел","Раздельный.санузел","Лифт","Грузовой.лифт","Мусоропровод","Год.постройки","Аварийный","Железобетонные.перекрытия","Смешанные.перекрытия","Деревянные.перекрытия","Иные.перекрытия","Панельные.стены","Блочные.стены","Деревянные.стены","Кирпичные.стены","Монолитные.стены","Смешанные.стены","Школа.1000","ВУЗ.1000","ТЦ.1000","Стоматология.1000","Почта.1000","Поликлиника.1000","Парк.1000","Остановка.1000","Одежда..1000","Супер3кет.1000","Кинотеатр.1000","Кафе.1000","АЗС.1000","Детский.сад.1000","Бар.1000","Банк.1000","Аптека.1000"
"1",1,0,35.1,7,9,1,1946322,0,0,0,1,1,0,0,0,1,0,1,1991,0,1,0,0,0,1,0,0,0,0,0,3,0,3,24,5,4,1,12,13,10,0,5,1,31,13,10,26
"2",5,0,95.2,1,10,1,5e+06,0,0,0,1,0,0,0,1,1,0,1,1991,0,1,0,0,0,1,0,0,0,0,0,3,0,3,24,5,4,1,12,13,10,0,5,1,31,13,10,26
"3",1,0,34,1,5,0,1870000,0,0,0,1,0,1,0,1,0,0,1,1988,0,1,0,0,0,1,0,0,0,0,0,3,0,3,22,5,4,1,12,13,9,0,4,1,26,13,11,28
"4",1,0,41,4,10,0,2500000,0,0,0,1,1,0,0,0,1,0,1,1993,0,1,0,0,0,1,0,0,0,0,0,3,0,4,19,4,0,1,12,15,7,0,7,2,31,9,5,19
"5",1,0,42,10,10,1,2150000,0,0,0,1,0,1,1,0,1,0,1,1993,0,1,0,0,0,1,0,0,0,0,0,3,0,4,19,4,0,1,12,15,7,0,7,2,31,9,5,19
"6",1,0,42,10,10,0,2150000,0,0,0,1,0,0,0,0,1,0,1,1993,0,1,0,0,0,1,0,0,0,0,0,3,0,4,19,4,0,1,12,15,7,0,7,2,31,9,5,19
"7",1,0,33.8,4,5,0,2150000,0,0,0,1,1,0,0,1,0,0,1,1988,0,1,0,0,0,1,0,0,0,0,0,3,0,3,20,4,4,1,14,14,10,0,5,1,25,12,12,31
"8",2,0,54,6,6,0,2900000,0,0,0,1,0,1,0,1,1,0,1,1992,0,1,0,0,0,1,0,0,0,0,0,3,0,4,15,3,0,1,12,11,7,0,5,3,28,9,5,18
"9",1,0,14,1,6,0,725000,0,0,0,1,0,0,1,0,1,0,1,1992,0,1,0,0,0,1,0,0,0,0,0,3,0,4,15,3,0,1,12,11,7,0,5,3,28,9,5,18
"10",1,0,42,1,17,0,2400000,0,0,0,1,1,0,0,1,1,0,1,2012,0,1,0,0,0,1,0,0,0,0,0,3,0,5,19,3,0,1,13,10,8,0,6,4,30,9,5,18
"11",4,0,78.2,5,9,0,3800000,0,0,0,1,1,1,0,1,1,0,1,1981,0,1,0,0,0,1,0,0,0,0,0,4,0,4,22,4,0,1,12,15,9,0,6,2,36,11,6,20
"12",2,0,45,3,5,0,2850000,0,0,0,1,1,0,1,0,0,0,1,1981,0,1,0,0,0,1,0,0,0,0,0,5,0,4,26,5,1,1,11,15,10,0,7,2,39,13,6,27
"13",4,0,136,8,16,0,7800000,0,1,0,0,1,0,1,1,1,0,1,1997,0,1,0,0,0,1,0,0,0,0,0,4,0,1,21,4,4,1,14,13,11,0,6,0,28,10,13,37
"14",2,0,54,4,9,0,3100000,0,0,0,1,1,0,0,1,1,0,1,1984,0,1,0,0,0,1,0,0,0,0,0,5,0,4,26,5,4,1,12,16,8,0,6,2,35,13,10,29
"15",4,0,82,10,10,1,5e+06,0,0,1,0,2,0,1,0,1,0,1,2000,0,1,0,0,0,1,0,0,0,0,0,5,0,1,25,4,4,0,11,13,10,0,6,0,28,7,13,35
"16",2,0,53,1,10,0,3100000,0,0,0,1,0,0,0,1,1,0,1,1987,0,1,0,0,0,1,0,0,0,0,0,4,0,3,25,5,4,1,11,14,9,0,5,1,36,13,10,27
"17",4,0,83,2,10,0,4080000,0,0,0,1,1,0,0,0,1,0,1,1995,0,1,0,0,0,1,0,0,0,0,0,4,0,1,21,3,4,1,12,13,10,0,5,0,26,8,12,35
